,,,,,,,,,
Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region, Total , Male , Female ,Total population
Somalia,SSA,ESA,LDC,Eastern Africa,All,,,,3138.843
South Africa,,,,Southern Africa,All,,,,9836.943
South Sudan,SSA,ESA,LDC,Eastern Africa,All, 48 , 48 , 47 ,2220.233
Spain,ECA,WE,,,, 100 , 100 , 100 ,4477.396
Sri Lanka,SA,,,,,,,,3119.511
State of Palestine,MENA,,,,,,,,1006.698
Sudan,SSA,ESA,LDC,Eastern Africa,All, 73 , 73 , 73 ,8501.047
Suriname,LAC,,,,, 99 , 99 , 98 ,98.991
Eswatini,SSA,ESA,,Southern Africa,All, 95 , 94 , 97 ,240.617
Sweden,ECA,WE,,,,,,,1116.363
Switzerland,ECA,WE,,,,,,,924.389
Syrian Arab Republic,MENA,,,,,,,,3179.826
Tajikistan,,,,,,,,,1654.956
Thailand,,,,,,,,,9448.029
North Macedonia,ECA,EECA,,,,,,,263.64
Timor-Leste,,,,,, 84 , 82 , 85 ,273.641
Togo,SSA,WCA,LDC,Western Africa,All,,,,1534.458
Tokelau,EAP,,,,,,,,
Tonga,EAP,,,,, 99 , 99 , 100 ,20.134
Trinidad and Tobago,LAC,,,,,,,,176.348
Tunisia,,,,Northern Africa,All,,,,1648.726
Turkey,ECA,EECA,,,,,,,13427.788
Turkmenistan,ECA,EECA,,,,,,,964.237
Turks and Caicos Islands,LAC,,,,,,,,
Tuvalu,EAP,,LDC,,,,,,
Uganda,SSA,ESA,LDC,Eastern Africa,All, 89 , 89 , 90 ,8861.896
Ukraine,ECA,EECA,,,,,,,4306.898
United Arab Emirates,MENA,,,,,,,,1161.365
United Kingdom,ECA,WE,,,,,,,7867.295
United Republic of Tanzania,SSA,ESA,LDC,Eastern Africa,All,,,,10937.127
United States,NA,,,,,,,,
Uruguay,LAC,,,,, 99 , 99 , 99 ,508.816
Uzbekistan,ECA,EECA,,,,,,,5543.134
Vanuatu,EAP,,LDC,,, 96 , 96 , 97 ,53.104
Venezuela (Bolivarian Republic of),LAC,,,,,,,,4753.733
Viet Nam,EAP,,,,, 98 , 98 , 98 ,14052.786
Yemen,MENA,,LDC,,,,,,6003.86
Zambia,SSA,ESA,LDC,Southern Africa,All, 92 , 93 , 92 ,3604.646
Zimbabwe,SSA,ESA,,Southern Africa,All,,,,2887.057
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Regional aggregates (unit in %, based on >50% population coverage)",,,,,,,,,
East Asia & Pacific,EAP,,,,, 100 ,,,
Europe & Central Asia,ECA,,,,, – ,,,
Eastern Europe & Central Asia,,EECA,,,, – ,,,
Western Europe,,WE,,,, – ,,,
Latin America & Caribbean,LAC,,,,, 99 ,,,
Middle East & North Africa,MENA,,,,, – ,,,
North America,NA,,,,, – ,,,
South Asia,SA,,,,, 91 ,,,
Sub-Saharan Africa,SSA,,,,, 77 ,,,
Eastern & Southern Africa,,ESA,,,, – ,,,
West & Central Africa,,WCA,,,, 73 ,,,
Least developed countries,,,LDC,,, – ,,,
African sub-region - Central Africa,,,,Central Africa,, – ,,,
African sub-region - East Africa,,,,Eastern Africa,, 82 ,,,
African sub-region - North Africa,,,,Northern Africa,, – ,,,
African sub-region - South Africa,,,,Southern Africa,, – ,,,
African sub-region - West Africa,,,,Western Africa,, 72 ,,,
Africa region - All,,,,,All, 79 ,,,
World,,,,,, 93 ,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Literacy data: UIS 2018,,,,,,,,,
Population data: UNPD wpp 2019 for year 2018,,,,,,,,,
